Cement,Blast furnace slag,Fly Ash,Water,Superplasticizer,Coarse aggregate,Fine aggregate,Age,Concrete compressive strength
540,0,0,162,2.5,1040,676,28,7.999
540,0,0,162,2.5,1055,676,28,6.189
332.5,142.5,0,228,0,932,594,270,4.027
332.5,142.5,0,228,0,932,594,365,4.105
198.6,132.4,0,192,0,978.4,825.5,360,4.43
266,114,0,228,0,932,670,90,4.703
380,95,0,228,0,932,594,365,4.37
380,95,0,228,0,932,594,28,3.645
266,114,0,228,0,932,670,28,4.585
475,0,0,228,0,932,594,28,3.929
198.6,132.4,0,192,0,978.4,825.5,90,3.807
198.6,132.4,0,192,0,978.4,825.5,28,2.802
427.5,47.5,0,228,0,932,594,270,4.301
190,190,0,228,0,932,670,90,4.233
304,76,0,228,0,932,670,28,4.781
380,0,0,228,0,932,670,90,5.291
139.6,209.4,0,192,0,1047,806.9,90,3.936
342,38,0,228,0,932,670,365,5.614
380,95,0,228,0,932,594,90,4.056
475,0,0,228,0,932,594,180,4.262
427.5,47.5,0,228,0,932,594,180,4.184
139.6,209.4,0,192,0,1047,806.9,28,2.824
139.6,209.4,0,192,0,1047,806.9,3,0.806
139.6,209.4,0,192,0,1047,806.9,180,4.421
380,0,0,228,0,932,670,365,5.252
380,0,0,228,0,932,670,270,5.33
380,95,0,228,0,932,594,270,4.115
342,38,0,228,0,932,670,180,5.212
427.5,47.5,0,228,0,932,594,28,3.743
475,0,0,228,0,932,594,7,3.86
304,76,0,228,0,932,670,365,5.526
266,114,0,228,0,932,670,365,5.291
198.6,132.4,0,192,0,978.4,825.5,180,4.172
475,0,0,228,0,932,594,270,4.213
190,190,0,228,0,932,670,365,5.369
237.5,237.5,0,228,0,932,594,270,3.841
237.5,237.5,0,228,0,932,594,28,3.008
332.5,142.5,0,228,0,932,594,90,3.772
475,0,0,228,0,932,594,90,4.223
237.5,237.5,0,228,0,932,594,180,3.625
342,38,0,228,0,932,670,90,5.046
427.5,47.5,0,228,0,932,594,365,4.37
237.5,237.5,0,228,0,932,594,365,3.9
380,0,0,228,0,932,670,180,5.31
427.5,47.5,0,228,0,932,594,90,4.154
427.5,47.5,0,228,0,932,594,7,3.508
349,0,0,192,0,1047,806.9,3,1.505
380,95,0,228,0,932,594,180,4.076
237.5,237.5,0,228,0,932,594,7,2.626
380,95,0,228,0,932,594,7,3.282
332.5,142.5,0,228,0,932,594,180,3.978
190,190,0,228,0,932,670,180,4.693
237.5,237.5,0,228,0,932,594,90,3.312
304,76,0,228,0,932,670,90,4.919
139.6,209.4,0,192,0,1047,806.9,7,1.459
198.6,132.4,0,192,0,978.4,825.5,7,1.464
475,0,0,228,0,932,594,365,4.193
198.6,132.4,0,192,0,978.4,825.5,3,0.913
304,76,0,228,0,932,670,180,5.095
332.5,142.5,0,228,0,932,594,28,3.302
304,76,0,228,0,932,670,270,5.438
266,114,0,228,0,932,670,270,5.173
310,0,0,192,0,971,850.6,3,0.987
190,190,0,228,0,932,670,270,5.066
266,114,0,228,0,932,670,180,4.87
342,38,0,228,0,932,670,270,5.506
139.6,209.4,0,192,0,1047,806.9,360,4.47
332.5,142.5,0,228,0,932,594,7,3.028
190,190,0,228,0,932,670,28,4.086
485,0,0,146,0,1120,800,28,7.199
374,189.2,0,170.1,10.1,926.1,756.7,3,3.44
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,2.88
425,106.3,0,153.5,16.5,852.1,887.1,3,3.34
425,106.3,0,151.4,18.6,936,803.7,3,3.63
375,93.8,0,126.6,23.4,852.1,992.6,3,2.9
475,118.8,0,181.1,8.9,852.1,781.5,3,3.78
469,117.2,0,137.8,32.2,852.1,840.5,3,4.02
425,106.3,0,153.5,16.5,852.1,887.1,3,3.34
388.6,97.1,0,157.9,12.1,852.1,925.7,3,2.81
531.3,0,0,141.8,28.2,852.1,893.7,3,4.13
425,106.3,0,153.5,16.5,852.1,887.1,3,3.34
318.8,212.5,0,155.7,14.3,852.1,880.4,3,2.52
401.8,94.7,0,147.4,11.4,946.8,852.1,3,4.11
362.6,189,0,164.9,11.6,944.7,755.8,3,3.53
323.7,282.8,0,183.8,10.3,942.7,659.9,3,2.83
379.5,151.2,0,153.9,15.9,1134.3,605,3,2.86
362.6,189,0,164.9,11.6,944.7,755.8,3,3.53
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,2.44
362.6,189,0,164.9,11.6,944.7,755.8,3,3.53
439,177,0,186,11.1,884.9,707.9,3,3.93
389.9,189,0,145.9,22,944.7,755.8,3,4.06
362.6,189,0,164.9,11.6,944.7,755.8,3,3.53
337.9,189,0,174.9,9.5,944.7,755.8,3,2.41
374,189.2,0,170.1,10.1,926.1,756.7,7,4.62
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,4.28
425,106.3,0,153.5,16.5,852.1,887.1,7,4.92
425,106.3,0,151.4,18.6,936,803.7,7,4.68
375,93.8,0,126.6,23.4,852.1,992.6,7,4.57
475,118.8,0,181.1,8.9,852.1,781.5,7,5.56
469,117.2,0,137.8,32.2,852.1,840.5,7,5.49
425,106.3,0,153.5,16.5,852.1,887.1,7,4.92
388.6,97.1,0,157.9,12.1,852.1,925.7,7,3.49
531.3,0,0,141.8,28.2,852.1,893.7,7,4.69
425,106.3,0,153.5,16.5,852.1,887.1,7,4.92
318.8,212.5,0,155.7,14.3,852.1,880.4,7,3.34
401.8,94.7,0,147.4,11.4,946.8,852.1,7,5.41
362.6,189,0,164.9,11.6,944.7,755.8,7,5.59
323.7,282.8,0,183.8,10.3,942.7,659.9,7,4.98
379.5,151.2,0,153.9,15.9,1134.3,605,7,4.71
362.6,189,0,164.9,11.6,944.7,755.8,7,5.59
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,3.8
362.6,189,0,164.9,11.6,944.7,755.8,7,5.59
439,177,0,186,11.1,884.9,707.9,7,5.61
389.9,189,0,145.9,22,944.7,755.8,7,5.909
362.6,189,0,164.9,11.6,944.7,755.8,7,2.29
337.9,189,0,174.9,9.5,944.7,755.8,7,3.51
374,189.2,0,170.1,10.1,926.1,756.7,28,6.109
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,5.98
425,106.3,0,153.5,16.5,852.1,887.1,28,6.029
425,106.3,0,151.4,18.6,936,803.7,28,6.18
375,93.8,0,126.6,23.4,852.1,992.6,28,5.67
475,118.8,0,181.1,8.9,852.1,781.5,28,6.83
469,117.2,0,137.8,32.2,852.1,840.5,28,6.69
425,106.3,0,153.5,16.5,852.1,887.1,28,6.029
388.6,97.1,0,157.9,12.1,852.1,925.7,28,5.07
531.3,0,0,141.8,28.2,852.1,893.7,28,5.64
425,106.3,0,153.5,16.5,852.1,887.1,28,6.029
318.8,212.5,0,155.7,14.3,852.1,880.4,28,5.55
401.8,94.7,0,147.4,11.4,946.8,852.1,28,6.85
362.6,189,0,164.9,11.6,944.7,755.8,28,7.13
323.7,282.8,0,183.8,10.3,942.7,659.9,28,7.47
379.5,151.2,0,153.9,15.9,1134.3,605,28,5.22
362.6,189,0,164.9,11.6,944.7,755.8,28,7.13
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,6.77
362.6,189,0,164.9,11.6,944.7,755.8,28,7.13
439,177,0,186,11.1,884.9,707.9,28,6.6
389.9,189,0,145.9,22,944.7,755.8,28,7.45
362.6,189,0,164.9,11.6,944.7,755.8,28,7.13
337.9,189,0,174.9,9.5,944.7,755.8,28,4.99
374,189.2,0,170.1,10.1,926.1,756.7,56,6.34
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,6.49
425,106.3,0,153.5,16.5,852.1,887.1,56,6.43
425,106.3,0,151.4,18.6,936,803.7,56,6.49
375,93.8,0,126.6,23.4,852.1,992.6,56,6.02
475,118.8,0,181.1,8.9,852.1,781.5,56,7.23
469,117.2,0,137.8,32.2,852.1,840.5,56,6.93
425,106.3,0,153.5,16.5,852.1,887.1,56,6.43
388.6,97.1,0,157.9,12.1,852.1,925.7,56,5.52
531.3,0,0,141.8,28.2,852.1,893.7,56,5.88
425,106.3,0,153.5,16.5,852.1,887.1,56,6.43
318.8,212.5,0,155.7,14.3,852.1,880.4,56,6.61
401.8,94.7,0,147.4,11.4,946.8,852.1,56,7.37
362.6,189,0,164.9,11.6,944.7,755.8,56,7.73
323.7,282.8,0,183.8,10.3,942.7,659.9,56,8.02
379.5,151.2,0,153.9,15.9,1134.3,605,56,5.49
362.6,189,0,164.9,11.6,944.7,755.8,56,7.73
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,7.299
362.6,189,0,164.9,11.6,944.7,755.8,56,7.73
439,177,0,186,11.1,884.9,707.9,56,7.17
389.9,189,0,145.9,22,944.7,755.8,56,7.94
362.6,189,0,164.9,11.6,944.7,755.8,56,7.73
337.9,189,0,174.9,9.5,944.7,755.8,56,5.989
374,189.2,0,170.1,10.1,926.1,756.7,91,6.49
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,6.66
425,106.3,0,153.5,16.5,852.1,887.1,91,6.52
425,106.3,0,151.4,18.6,936,803.7,91,6.67
375,93.8,0,126.6,23.4,852.1,992.6,91,6.25
475,118.8,0,181.1,8.9,852.1,781.5,91,7.419
469,117.2,0,137.8,32.2,852.1,840.5,91,7.07
425,106.3,0,153.5,16.5,852.1,887.1,91,6.52
388.6,97.1,0,157.9,12.1,852.1,925.7,91,5.76
531.3,0,0,141.8,28.2,852.1,893.7,91,5.92
425,106.3,0,153.5,16.5,852.1,887.1,91,6.52
318.8,212.5,0,155.7,14.3,852.1,880.4,91,6.81
401.8,94.7,0,147.4,11.4,946.8,852.1,91,7.55
362.6,189,0,164.9,11.6,944.7,755.8,91,7.93
379.5,151.2,0,153.9,15.9,1134.3,605,91,5.65
362.6,189,0,164.9,11.6,944.7,755.8,91,7.93
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,7.68
362.6,189,0,164.9,11.6,944.7,755.8,91,7.93
439,177,0,186,11.1,884.9,707.9,91,7.33
389.9,189,0,145.9,22,944.7,755.8,91,8.26
362.6,189,0,164.9,11.6,944.7,755.8,91,7.93
337.9,189,0,174.9,9.5,944.7,755.8,91,6.78
222.4,0,96.7,189.3,4.5,967.1,870.3,3,1.158
222.4,0,96.7,189.3,4.5,967.1,870.3,14,2.445
222.4,0,96.7,189.3,4.5,967.1,870.3,28,2.489
222.4,0,96.7,189.3,4.5,967.1,870.3,56,2.945
222.4,0,96.7,189.3,4.5,967.1,870.3,100,4.071
233.8,0,94.6,197.9,4.6,947,852.2,3,1.038
233.8,0,94.6,197.9,4.6,947,852.2,14,2.214
233.8,0,94.6,197.9,4.6,947,852.2,28,2.284
233.8,0,94.6,197.9,4.6,947,852.2,56,2.766
233.8,0,94.6,197.9,4.6,947,852.2,100,3.456
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,1.245
194.7,0,100.5,165.6,7.5,1006.4,905.9,14,2.499
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,2.572
194.7,0,100.5,165.6,7.5,1006.4,905.9,56,3.396
194.7,0,100.5,165.6,7.5,1006.4,905.9,100,3.734
190.7,0,125.4,162.1,7.8,1090,804,3,1.504
190.7,0,125.4,162.1,7.8,1090,804,14,2.106
190.7,0,125.4,162.1,7.8,1090,804,28,2.64
190.7,0,125.4,162.1,7.8,1090,804,56,3.534
190.7,0,125.4,162.1,7.8,1090,804,100,4.057
212.1,0,121.6,180.3,5.7,1057.6,779.3,3,1.247
212.1,0,121.6,180.3,5.7,1057.6,779.3,14,2.092
212.1,0,121.6,180.3,5.7,1057.6,779.3,28,2.49
212.1,0,121.6,180.3,5.7,1057.6,779.3,56,3.42
212.1,0,121.6,180.3,5.7,1057.6,779.3,100,3.961
230,0,118.3,195.5,4.6,1029.4,758.6,3,1.003
230,0,118.3,195.5,4.6,1029.4,758.6,14,2.008
230,0,118.3,195.5,4.6,1029.4,758.6,28,2.448
230,0,118.3,195.5,4.6,1029.4,758.6,56,3.154
230,0,118.3,195.5,4.6,1029.4,758.6,100,3.534
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,0.945
190.3,0,125.2,161.9,9.9,1088.1,802.6,14,2.272
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,2.847
190.3,0,125.2,161.9,9.9,1088.1,802.6,56,3.856
190.3,0,125.2,161.9,9.9,1088.1,802.6,100,4.039
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,1.076
166.1,0,163.3,176.5,4.5,1058.6,780.1,14,2.548
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,2.154
166.1,0,163.3,176.5,4.5,1058.6,780.1,56,2.863
166.1,0,163.3,176.5,4.5,1058.6,780.1,100,3.354
168,42.1,163.8,121.8,5.7,1058.7,780.1,3,0.775
168,42.1,163.8,121.8,5.7,1058.7,780.1,14,1.782
168,42.1,163.8,121.8,5.7,1058.7,780.1,28,2.424
168,42.1,163.8,121.8,5.7,1058.7,780.1,56,3.285
168,42.1,163.8,121.8,5.7,1058.7,780.1,100,3.923
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,1.8
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,3.039
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,4.571
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,5.077
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,5.39
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,1.318
213.8,98.1,24.5,181.7,6.7,1066,785.5,14,1.784
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,4.023
213.8,98.1,24.5,181.7,6.7,1066,785.5,56,4.713
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,4.997
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,1.336
229.7,0,118.2,195.2,6.1,1028.1,757.6,14,2.232
229.7,0,118.2,195.2,6.1,1028.1,757.6,28,2.454
229.7,0,118.2,195.2,6.1,1028.1,757.6,56,3.135
229.7,0,118.2,195.2,6.1,1028.1,757.6,100,4.086
238.1,0,94.1,186.7,7,949.9,847,3,1.993
238.1,0,94.1,186.7,7,949.9,847,14,2.569
238.1,0,94.1,186.7,7,949.9,847,28,3.023
238.1,0,94.1,186.7,7,949.9,847,56,3.959
238.1,0,94.1,186.7,7,949.9,847,100,4.43
250,0,95.7,187.4,5.5,956.9,861.2,3,1.382
250,0,95.7,187.4,5.5,956.9,861.2,14,2.492
250,0,95.7,187.4,5.5,956.9,861.2,28,2.922
250,0,95.7,187.4,5.5,956.9,861.2,56,3.833
250,0,95.7,187.4,5.5,956.9,861.2,100,4.235
212.5,0,100.4,159.3,8.7,1007.8,903.6,3,1.354
212.5,0,100.4,159.3,8.7,1007.8,903.6,14,2.631
212.5,0,100.4,159.3,8.7,1007.8,903.6,28,3.164
212.5,0,100.4,159.3,8.7,1007.8,903.6,56,4.255
212.5,0,100.4,159.3,8.7,1007.8,903.6,100,4.292
212.6,0,100.4,159.4,10.4,1003.8,903.8,3,1.333
212.6,0,100.4,159.4,10.4,1003.8,903.8,14,2.537
212.6,0,100.4,159.4,10.4,1003.8,903.8,28,3.74
212.6,0,100.4,159.4,10.4,1003.8,903.8,56,4.44
212.6,0,100.4,159.4,10.4,1003.8,903.8,100,4.774
212,0,124.8,159,7.8,1085.4,799.5,3,1.952
212,0,124.8,159,7.8,1085.4,799.5,14,3.135
212,0,124.8,159,7.8,1085.4,799.5,28,3.85
212,0,124.8,159,7.8,1085.4,799.5,56,4.508
212,0,124.8,159,7.8,1085.4,799.5,100,4.782
231.8,0,121.6,174,6.7,1056.4,778.5,3,1.544
231.8,0,121.6,174,6.7,1056.4,778.5,14,2.677
231.8,0,121.6,174,6.7,1056.4,778.5,28,3.373
231.8,0,121.6,174,6.7,1056.4,778.5,56,4.27
231.8,0,121.6,174,6.7,1056.4,778.5,100,4.584
251.4,0,118.3,188.5,5.8,1028.4,757.7,3,1.722
251.4,0,118.3,188.5,5.8,1028.4,757.7,14,2.993
251.4,0,118.3,188.5,5.8,1028.4,757.7,28,2.965
251.4,0,118.3,188.5,5.8,1028.4,757.7,56,3.697
251.4,0,118.3,188.5,5.8,1028.4,757.7,100,4.358
251.4,0,118.3,188.5,6.4,1028.4,757.7,3,1.312
251.4,0,118.3,188.5,6.4,1028.4,757.7,14,2.443
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,3.266
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,3.664
251.4,0,118.3,188.5,6.4,1028.4,757.7,100,4.421
181.4,0,167,169.6,7.6,1055.6,777.8,3,1.362
181.4,0,167,169.6,7.6,1055.6,777.8,14,2.16
181.4,0,167,169.6,7.6,1055.6,777.8,28,2.777
181.4,0,167,169.6,7.6,1055.6,777.8,56,3.557
181.4,0,167,169.6,7.6,1055.6,777.8,100,4.537
182,45.2,122,170.2,8.2,1059.4,780.7,3,0.732
182,45.2,122,170.2,8.2,1059.4,780.7,14,2.15
182,45.2,122,170.2,8.2,1059.4,780.7,28,3.127
182,45.2,122,170.2,8.2,1059.4,780.7,56,4.35
182,45.2,122,170.2,8.2,1059.4,780.7,100,4.867
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,0.74
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,2.351
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,3.112
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,3.915
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,4.815
290.4,0,96.2,168.1,9.4,961.2,865,3,2.25
290.4,0,96.2,168.1,9.4,961.2,865,14,3.467
290.4,0,96.2,168.1,9.4,961.2,865,28,3.474
290.4,0,96.2,168.1,9.4,961.2,865,56,4.508
290.4,0,96.2,168.1,9.4,961.2,865,100,4.897
277.1,0,97.4,160.6,11.8,973.9,875.6,3,2.314
277.1,0,97.4,160.6,11.8,973.9,875.6,14,4.189
277.1,0,97.4,160.6,11.8,973.9,875.6,28,4.828
277.1,0,97.4,160.6,11.8,973.9,875.6,56,5.104
277.1,0,97.4,160.6,11.8,973.9,875.6,100,5.564
295.7,0,95.6,171.5,8.9,955.1,859.2,3,2.295
295.7,0,95.6,171.5,8.9,955.1,859.2,14,3.523
295.7,0,95.6,171.5,8.9,955.1,859.2,28,3.994
295.7,0,95.6,171.5,8.9,955.1,859.2,56,4.872
295.7,0,95.6,171.5,8.9,955.1,859.2,100,5.204
251.8,0,99.9,146.1,12.4,1006,899.8,3,2.102
251.8,0,99.9,146.1,12.4,1006,899.8,14,3.336
251.8,0,99.9,146.1,12.4,1006,899.8,28,3.394
251.8,0,99.9,146.1,12.4,1006,899.8,56,4.414
251.8,0,99.9,146.1,12.4,1006,899.8,100,4.537
249.1,0,98.8,158.1,12.8,987.8,889,3,1.536
